,Ciudad,Orden,Modalidad de Contratacion,Tipo de Contrato,Codigo de Categoria Principal
348,Becerril,,,,V1.93151509
349,Leguízamo,,,,V1.72141003
350,Mitú,,,,V1.50161500
351,Subachoque,,,,V1.80111619
352,Restrepo,,,,V1.70171501
353,Chiquinquirá,,,,V1.71123005
354,La Cumbre,,,,V1.30121700
355,Coper,,,,V1.41121811
356,Curillo,,,,V1.70121704
357,Cértegui,,,,V1.90131500
358,María La Baja,,,,V1.90141700
359,Gómez Plata,,,,V1.14111800
360,López,,,,V1.80131801
361,El Playón,,,,V1.82101802
362,Cimitarra,,,,V1.31211501
363,Otanche,,,,V1.92121700
364,Suratá,,,,V1.72103100
365,Tuta,,,,V1.80121703
366,Caparrapí,,,,V1.70161600
367,Buenavista,,,,V1.43231501
368,Chiscas,,,,V1.84111600
369,Contratación,,,,V1.80121503
370,Cravo Norte,,,,V1.90151700
371,Funes,,,,V1.80131505
372,Coloso,,,,V1.81101802
373,Dibulla,,,,V1.86141704
374,Cómbita,,,,V1.70141500
375,Socha,,,,V1.85101504
376,Sutamarchán,,,,V1.86131500
377,Condoto,,,,V1.80121706
378,Paratebueno,,,,V1.78131602
379,San Jerónimo,,,,V1.76121900
380,Villa De Leyva,,,,V1.76101500
381,Cantagallo,,,,V1.85122200
382,Morroa,,,,V1.85121900
383,Nuevo Colón,,,,V1.81141807
384,Palocabildo,,,,V1.81121500
385,Ciénega,,,,V1.70131700
386,Villarrica,,,,V1.43232200
387,Sotaquirá,,,,V1.26101515
388,Iza,,,,V1.50202300
389,Titiribí,,,,V1.70111707
390,Hacarí,,,,V1.94121505
391,Anolaima,,,,V1.92121704
392,Baraya,,,,V1.43233501
393,Guamal,,,,V1.85121504
394,Salento,,,,V1.43231600
395,Pijao,,,,V1.42131500
396,Macanal,,,,V1.40151533
397,Silos,,,,V1.84111505
398,Timbío,,,,V1.41104112
399,Firavitoba,,,,V1.72101509
400,Pauna,,,,V1.70151802
401,Timaná,,,,V1.93151502
402,Chita,,,,V1.93141513
403,El Cocuy,,,,V1.60105801
404,San Eduardo,,,,V1.43221700
405,Garagoa,,,,V1.50406700
406,Pueblorrico,,,,V1.60131400
407,Puerto Triunfo,,,,V1.85161500
408,Cumbitara,,,,V1.32151800
409,Peque,,,,V1.78181901
410,El Guacamayo,,,,V1.80141600
411,El Paso,,,,V1.70141520
412,Mahates,,,,V1.72103302
413,Manta,,,,V1.76121701
414,Ramiriquí,,,,V1.93142104
415,Guaca,,,,V1.80161507
416,Sabanas De San Angel,,,,V1.82101504
417,Hatonuevo,,,,V1.93141510
418,Villa Caro,,,,V1.81112101
419,Guateque,,,,V1.93111602
420,Génova,,,,V1.80111715
421,Silvia,,,,V1.41121700
422,Susacón,,,,V1.80161800
423,Suaita,,,,V1.85122108
424,Aquitania,,,,V1.42271900
425,Astrea,,,,V1.85101500
426,Granada,,,,V1.44111515
427,Hispania,,,,V1.83111800
428,Bahía Solano,,,,V1.24131500
429,Santa María,,,,V1.93142000
430,Puerto Gaitán,,,,V1.42201848
431,Cerrito,,,,V1.93151611
432,Providencia,,,,V1.84111500
433,Saladoblanco,,,,V1.81111808
434,Casabianca,,,,V1.90151500
435,Malambo,,,,V1.90121500
436,Tolú Viejo,,,,V1.85121800
437,La Pintada,,,,V1.86111700
438,Palmar,,,,V1.26121541
439,Prado,,,,V1.86141703
440,Piedras,,,,V1.72153506
441,Segovia,,,,V1.77101501
442,La Victoria,,,,V1.70171605
443,Santa Rosa De Viterbo,,,,V1.81101701
444,Barrancas,,,,V1.81161500
445,San José De Pare,,,,V1.42295100
446,Guapotá,,,,V1.80111706
447,Guadalupe,,,,V1.92101602
448,Sativasur,,,,V1.80101502
449,Villagómez,,,,V1.43191510
450,González,,,,V1.11151500
451,Guaduas,,,,V1.32131023
452,San José,,,,V1.24101510
453,Guachetá,,,,V1.72154055
454,El Banco,,,,V1.77111500
455,Sativanorte,,,,V1.85122100
456,Heliconia,,,,V1.81112303
457,Sahagún,,,,V1.84131607
458,Sesquilé,,,,V1.86121602
459,Necoclí,,,,V1.10151500
460,Ciénaga,,,,V1.91111603
461,Rioblanco,,,,V1.90141502
462,Tausa,,,,V1.12141904
463,Covarachía,,,,V1.84101501
464,Alpujarra,,,,V1.72141124
465,Simijaca,,,,V1.72154302
466,Túquerres,,,,V1.72102103
467,Tópaga,,,,V1.93131602
468,San Pedro,,,,V1.43201500
