;valor norm;predict
6988;-0.08106024831556256;-0.08221532
1394;-0.08555442930749603;-0.085415296
5040;-0.08987241683662614;-0.08059098
5690;-0.09419407520852012;-0.07347404
1005;-0.0946779472717163;-0.07491176
3972;-0.08995862514018897;-0.08873002
61;-0.09386246331909494;-0.08639094
6283;-0.0943284541491643;-0.092807814
6734;-0.09188200229130021;-0.085547596
3484;-0.08733859169812405;-0.087015934
6647;-0.09489113807647304;-0.08360687
835;-0.09175967969840701;-0.091367126
4333;-0.09450424918980796;-0.09500731
6485;-0.09223149541385223;-0.084033884
1972;-0.08908605731088412;-0.09289102
6127;-0.09278777196724751;-0.095394455
6756;-0.09351929077966428;-0.09336588
2785;-0.09322172592774959;-0.09260088
2768;-0.0902622764148329;-0.08550394
2675;-0.09280289569963741;-0.09472908
6530;-0.09362946790406027;-0.081413925
1487;-0.08679320185549627;-0.061120167
1235;-0.06741748371265938;-0.08283412
1951;-0.08454264671770796;-0.086177304
5034;-0.07775350981672009;-0.074815184
4677;-0.08516595313956604;-0.075921305
608;-0.09385500746581384;-0.09166969
3897;-0.08936565180892572;-0.09157516
3576;1.1121817866575385;-0.09851109
148;-0.0945032007104403;-0.08460551
6548;-0.0924644908288869;-0.089429855
400;-0.09227731396221879;-0.09322202
862;-0.09258098853640423;-0.09142381
3291;-0.09071702521612683;-0.095068745
535;-0.08838760287781491;-0.08876261
2667;-0.09300038028346665;-0.081500344
699;-0.09429932972228496;-0.09860512
6683;-0.0945905739910783;-0.09095562
1069;-0.09224886347457745;-0.08056777
6594;-0.0634729295849761;-0.053812843
4385;-0.08870686426277763;-0.09168636
2278;-0.09473619612547497;-0.09077839
3485;-0.08733859169812405;-0.09186576
1039;-0.08677124786251462;-0.08031156
47;-0.09188200229130021;-0.09243482
913;-0.08874815571023008;-0.08730332
1094;0.050245200879851265;-0.08608602
1771;-0.09416797855705916;-0.06770782
3045;-0.0929000769222713;-0.08958925
6541;-0.06694901555883968;-0.06029842
6477;-0.09234799312136956;-0.08760155
1317;-0.09409545873412963;-0.08452559
6555;-0.0924644908288869;-0.094000675
1526;-0.08227094142111989;-0.080866426
5002;-0.09322172592774959;-0.09226301
2694;-0.08640078515260949;-0.09592914
2491;-0.09293048165895625;-0.09545627
